dept_cd	audit_user	audit_date	descs
010600	MGR	1/1/2014 00:00:00	BDI JAKARTA - PULOGADUNG
009100	MGR	1/1/2014 00:00:00	BDI JAKARTA - PURI INDAH
015000	MGR	1/1/2014 00:00:00	BDI JAKARTA - PURI KENCANA
006700	MGR	1/1/2014 00:00:00	BDI JAKARTA - RADIO DALAM
005400	MGR	1/1/2014 00:00:00	BDI JAKARTA - RASUNA SAID
013300	MGR	1/1/2014 00:00:00	BDI JAKARTA - ROXY MAS
014400	MGR	1/1/2014 00:00:00	BDI JAKARTA - RUKO ATRIUM SENEN
003100	MGR	1/1/2014 00:00:00	BDI JAKARTA - SENEN
017100	MGR	1/1/2014 00:00:00	BDI JAKARTA - SENTRA NIAGA PURI INDAH
014100	MGR	1/1/2014 00:00:00	BDI JAKARTA - SUDIRMAN PLZ
016100	MGR	1/1/2014 00:00:00	BDI JAKARTA - SUNAN DERAJAT
003400	MGR	1/1/2014 00:00:00	BDI JAKARTA - SUPOMO
018700	MGR	1/1/2014 00:00:00	BDI JAKARTA - SURYOPRANOTO 2
009500	MGR	1/1/2014 00:00:00	BDI JAKARTA - TAMAN ANGGREK
013400	MGR	1/1/2014 00:00:00	BDI JAKARTA - TAMAN DUTA MAS
011800	MGR	1/1/2014 00:00:00	BDI JAKARTA - TAMAN PALEM LESTARI
011000	MGR	1/1/2014 00:00:00	BDI JAKARTA - TAMAN RATU INDAH
002300	MGR	1/1/2014 00:00:00	BDI JAKARTA - TAMAN SARI
014300	MGR	1/1/2014 00:00:00	BDI JAKARTA - TANAH ABANG BLOK A
000100	MGR	1/1/2014 00:00:00	BDI JAKARTA - TANJUNG DUREN
000900	MGR	1/1/2014 00:00:00	BDI JAKARTA - TELEPON KOTA I
013800	MGR	1/1/2014 00:00:00	BDI JAKARTA - THE EAST TOWER MEGA KUNINGAN
013900	MGR	1/1/2014 00:00:00	BDI JAKARTA - THE JAKARTA POST
000800	MGR	1/1/2014 00:00:00	BDI JAKARTA - TN.ABG FACHRUDIN
000500	MGR	1/1/2014 00:00:00	BDI JAKARTA - TOMANG RAYA
003700	MGR	1/1/2014 00:00:00	BDI JAKARTA - WARUNG BUNCIT
011700	MGR	1/1/2014 00:00:00	BDI JAKARTA - WIRYOPRANOTO
014800	MGR	1/1/2014 00:00:00	BDI JAKARTA - WISMA BAKRIE 2
008800	MGR	1/1/2014 00:00:00	BDI JAKARTA - WISMA ELEKTRINDO
013500	MGR	1/1/2014 00:00:00	BDI JAKARTA - WOLTER MONGINSIDI
012900	MGR	1/1/2014 00:00:00	BDI JAKARTA-BANDENGAN
008100	MGR	1/1/2014 00:00:00	BDI JAKARTA-CEMPAKA PUTIH I
000300	MGR	1/1/2014 00:00:00	BDI JAKARTA-GUNUNG SAHARI
009700	MGR	1/1/2014 00:00:00	BDI JAKARTA-ITC MANGGA DUA
003000	MGR	1/1/2014 00:00:00	BDI JAKARTA-JATINEGARA
011300	MGR	1/1/2014 00:00:00	BDI JAKARTA-KEMANG
007600	MGR	1/1/2014 00:00:00	BDI JAKARTA-METRO TANAH ABANG
010100	MGR	1/1/2014 00:00:00	BDI JAKARTA-OTISTA
009400	MGR	1/1/2014 00:00:00	BDI JAKARTA-PANTAI INDAH KAPUK
010200	MGR	1/1/2014 00:00:00	BDI JAKARTA-WISMA BNI 
067500	MGR	1/1/2014 00:00:00	BDI JAMBI - HAYAM WURUK
067400	MGR	1/1/2014 00:00:00	BDI JAMBI - KOL.ABUNJANI
061800	MGR	1/1/2014 00:00:00	BDI JAMBI - KOTA INDAH
060800	MGR	1/1/2014 00:00:00	BDI JAMBI - SUTOMO
063700	MGR	1/1/2014 00:00:00	BDI JAMBI KUALA TUNGKAL                 
040300	MGR	1/1/2014 00:00:00	BDI JAYAPURA - A. YANI
031500	MGR	1/1/2014 00:00:00	BDI JEMBER GAJAH MADA                   
072900	MGR	1/1/2014 00:00:00	BDI JEPARA - PATIMURA
000200	MGR	1/1/2014 00:00:00	BDI JKT MANGGA DUA ARTERI               
075000	MGR	1/1/2014 00:00:00	BDI JOGJAKARTA KUSUMANEGARA
031400	MGR	1/1/2014 00:00:00	BDI JOMBANG - KH.WAHID HASYIM
073500	MGR	1/1/2014 00:00:00	BDI JUWANA - SILUGONGGO
006400	MGR	1/1/2014 00:00:00	BDI KARAWANG TUPAREV                    
068000	MGR	1/1/2014 00:00:00	BDI KARIMUN - PRAMUKA
072600	MGR	1/1/2014 00:00:00	BDI KEBUMEN–KUSUMA
036300	MGR	1/1/2014 00:00:00	BDI KEDIRI - PARE
030300	MGR	1/1/2014 00:00:00	BDI KEDIRI BRAWIJAYA                    
038100	MGR	1/1/2014 00:00:00	BDI KEDIRI KILISUCI
073900	MGR	1/1/2014 00:00:00	BDI KENDAL RAYA                         
041900	MGR	1/1/2014 00:00:00	BDI KENDARI WUA WUA                     
040200	MGR	1/1/2014 00:00:00	BDI KENDARI-SAM RATULANGI
052900	MGR	1/1/2014 00:00:00	BDI KETAPANG MERDEKA                    
063000	MGR	1/1/2014 00:00:00	BDI KISARAN IMAM BONJOL                 
071300	MGR	1/1/2014 00:00:00	BDI KLATEN - PEMUDA
034100	MGR	1/1/2014 00:00:00	BDI KLUNGKUNG NAKULA 
045600	MGR	1/1/2014 00:00:00	BDI KOLAKA - CHAIRIL ANWAR
002100	MGR	1/1/2014 00:00:00	BDI KOTA BUMI SUDIRMAN                  
051900	MGR	1/1/2014 00:00:00	BDI KOTABARU - BATULICIN
051100	MGR	1/1/2014 00:00:00	BDI KOTABARU SINGABANA                  
041600	MGR	1/1/2014 00:00:00	BDI KOTAMOBAGU KARTINI                  
073000	MGR	1/1/2014 00:00:00	BDI KUDUS A YANI                        
021800	MGR	1/1/2014 00:00:00	BDI KUNINGAN SILIWANGI                  
039100	MGR	1/1/2014 00:00:00	BDI KUPANG - SUDIRMAN
030500	MGR	1/1/2014 00:00:00	BDI KUPANG SUMATERA                     
031300	MGR	1/1/2014 00:00:00	BDI KUTA LEGIAN                         
072700	MGR	1/1/2014 00:00:00	BDI KUTOARJO DIPONEGORO                 
064000	MGR	1/1/2014 00:00:00	BDI LAHAT PAGAR ALAM                    
017300	MGR	1/1/2014 00:00:00	BDI LAMPUNG - PANGERAN ANTASARI
063100	MGR	1/1/2014 00:00:00	BDI LANGSA TEUKU UMAR                   
